9/28/2021 	 4:59:44 PM 
 Current Sensitivity 	 1.000000E-7 
 This file comes from It only measurement 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	 Current 	 Filtered Current 	 
	0.001000	-1.326917E-11
	0.002000	5.114438E-11
	0.003000	-1.326917E-11
	0.004000	5.114438E-11
	0.005000	-1.326917E-11
	0.006000	-1.326917E-11
	0.007000	1.893761E-11
	0.008000	1.893761E-11
	0.009000	5.114438E-11
	0.010000	1.893761E-11
	0.011000	5.114438E-11
	0.012000	8.335116E-11
	0.013000	-1.326917E-11
	0.014000	8.335116E-11
	0.015000	1.893761E-11
	0.016000	1.893761E-11
	0.017000	1.893761E-11
	0.018000	-1.326917E-11
	0.019000	5.114438E-11
	0.020000	5.114438E-11
	0.021000	-1.326917E-11
	0.022000	-1.326917E-11
	0.023000	-4.547595E-11
	0.024000	-4.547595E-11
	0.025000	1.893761E-11
	0.026000	-1.326917E-11
	0.027000	1.893761E-11
	0.028000	8.335116E-11
	0.029000	1.893761E-11
	0.030000	-4.547595E-11
	0.031000	8.335116E-11
	0.032000	5.114438E-11
	0.033000	1.893761E-11
	0.034000	1.893761E-11
	0.035000	-1.326917E-11
	0.036000	5.114438E-11
	0.037000	5.114438E-11
	0.038000	1.893761E-11
	0.039000	-1.326917E-11
	0.040000	-1.326917E-11
	0.041000	-1.326917E-11
	0.042000	8.335116E-11
	0.043000	1.893761E-11
	0.044000	1.893761E-11
	0.045000	-1.326917E-11
	0.046000	5.114438E-11
	0.047000	1.893761E-11
	0.048000	8.335116E-11
	0.049000	-1.326917E-11
	0.050000	-1.326917E-11
	0.051000	5.114438E-11
	0.052000	1.893761E-11
	0.053000	1.893761E-11
	0.054000	1.893761E-11
	0.055000	-4.547595E-11
	0.056000	8.335116E-11
	0.057000	1.893761E-11
	0.058000	8.335116E-11
	0.059000	5.114438E-11
	0.060000	5.114438E-11
	0.061000	5.114438E-11
	0.062000	-1.326917E-11
	0.063000	-1.326917E-11
	0.064000	1.893761E-11
	0.065000	5.114438E-11
	0.066000	1.893761E-11
	0.067000	5.114438E-11
	0.068000	5.114438E-11
	0.069000	1.893761E-11
	0.070000	8.335116E-11
	0.071000	1.893761E-11
	0.072000	5.114438E-11
	0.073000	5.114438E-11
	0.074000	5.114438E-11
	0.075000	1.893761E-11
	0.076000	8.335116E-11
	0.077000	5.114438E-11
	0.078000	5.114438E-11
	0.079000	1.893761E-11
	0.080000	5.114438E-11
	0.081000	1.893761E-11
	0.082000	1.893761E-11
	0.083000	1.893761E-11
	0.084000	5.114438E-11
	0.085000	1.893761E-11
	0.086000	-1.326917E-11
	0.087000	5.114438E-11
	0.088000	8.335116E-11
	0.089000	1.893761E-11
	0.090000	-1.326917E-11
	0.091000	5.114438E-11
	0.092000	1.893761E-11
	0.093000	1.893761E-11
	0.094000	-4.547595E-11
	0.095000	-4.547595E-11
	0.096000	1.893761E-11
	0.097000	5.114438E-11
	0.098000	5.114438E-11
	0.099000	5.114438E-11
	0.100000	5.114438E-11
	0.101000	5.114438E-11
	0.102000	1.893761E-11
	0.103000	5.114438E-11
	0.104000	5.114438E-11
	0.105000	1.893761E-11
	0.106000	1.155579E-10
	0.107000	5.114438E-11
	0.108000	1.893761E-11
	0.109000	5.114438E-11
	0.110000	5.114438E-11
	0.111000	5.114438E-11
	0.112000	-1.326917E-11
	0.113000	1.893761E-11
	0.114000	-1.326917E-11
	0.115000	-1.326917E-11
	0.116000	5.114438E-11
	0.117000	5.114438E-11
	0.118000	5.114438E-11
	0.119000	-1.326917E-11
	0.120000	1.893761E-11
	0.121000	5.114438E-11
	0.122000	1.893761E-11
	0.123000	5.114438E-11
	0.124000	-4.547595E-11
	0.125000	5.114438E-11
	0.126000	1.893761E-11
	0.127000	1.893761E-11
	0.128000	1.893761E-11
	0.129000	1.893761E-11
	0.130000	1.893761E-11
	0.131000	-1.326917E-11
	0.132000	-1.326917E-11
	0.133000	8.335116E-11
	0.134000	5.114438E-11
	0.135000	5.114438E-11
	0.136000	5.114438E-11
	0.137000	1.893761E-11
	0.138000	1.893761E-11
	0.139000	-1.326917E-11
	0.140000	1.893761E-11
	0.141000	-1.326917E-11
	0.142000	5.114438E-11
	0.143000	5.114438E-11
	0.144000	5.114438E-11
	0.145000	1.893761E-11
	0.146000	1.893761E-11
	0.147000	1.893761E-11
	0.148000	5.114438E-11
	0.149000	-1.326917E-11
	0.150000	-1.326917E-11
	0.151000	5.114438E-11
	0.152000	5.114438E-11
	0.153000	1.893761E-11
	0.154000	1.893761E-11
	0.155000	-1.326917E-11
	0.156000	-1.326917E-11
	0.157000	-1.326917E-11
	0.158000	5.114438E-11
	0.159000	5.114438E-11
	0.160000	5.114438E-11
	0.161000	1.893761E-11
	0.162000	5.114438E-11
	0.163000	1.893761E-11
	0.164000	1.893761E-11
	0.165000	-1.326917E-11
	0.166000	1.893761E-11
	0.167000	1.893761E-11
	0.168000	8.335116E-11
	0.169000	1.893761E-11
	0.170000	5.114438E-11
	0.171000	1.893761E-11
	0.172000	-1.326917E-11
	0.173000	1.893761E-11
	0.174000	1.893761E-11
	0.175000	-1.326917E-11
	0.176000	8.335116E-11
	0.177000	5.114438E-11
	0.178000	5.114438E-11
	0.179000	1.155579E-10
	0.180000	1.893761E-11
	0.181000	1.893761E-11
	0.182000	5.114438E-11
	0.183000	1.893761E-11
	0.184000	1.893761E-11
	0.185000	5.114438E-11
	0.186000	1.893761E-11
	0.187000	5.114438E-11
	0.188000	5.114438E-11
	0.189000	5.114438E-11
	0.190000	5.114438E-11
	0.191000	5.114438E-11
	0.192000	-1.326917E-11
	0.193000	1.893761E-11
	0.194000	5.114438E-11
	0.195000	5.114438E-11
	0.196000	8.335116E-11
	0.197000	-4.547595E-11
	0.198000	8.335116E-11
	0.199000	1.893761E-11
