9/28/2021 	 4:57:29 PM 
 Current Sensitivity 	 1.000000E-7 
 This file comes from It only measurement 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	 Current 	 Filtered Current 	 
	3.471116E-6	5.114438E-11
	0.001003	1.893761E-11
	0.002003	1.893761E-11
	0.003003	-4.547595E-11
	0.004003	1.893761E-11
	0.005003	-1.326917E-11
	0.006003	-1.326917E-11
	0.007003	5.114438E-11
	0.008003	8.335116E-11
	0.009003	8.335116E-11
	0.010003	1.893761E-11
	0.011003	-1.326917E-11
	0.012003	-1.326917E-11
	0.013003	1.893761E-11
	0.014003	1.893761E-11
	0.015003	-1.326917E-11
	0.016003	1.893761E-11
	0.017003	5.114438E-11
	0.018003	5.114438E-11
	0.019003	1.893761E-11
	0.020003	1.893761E-11
	0.021003	-1.326917E-11
	0.022003	1.893761E-11
	0.023003	1.893761E-11
	0.024003	8.335116E-11
	0.025003	1.893761E-11
	0.026003	1.893761E-11
	0.027003	1.893761E-11
	0.028003	-4.547595E-11
	0.029003	5.114438E-11
	0.030003	8.335116E-11
	0.031003	1.893761E-11
	0.032003	-1.326917E-11
	0.033003	1.893761E-11
	0.034003	5.114438E-11
	0.035003	8.335116E-11
	0.036003	-4.547595E-11
	0.037003	-1.326917E-11
	0.038003	1.893761E-11
	0.039003	5.114438E-11
	0.040003	-1.326917E-11
	0.041003	5.114438E-11
	0.042003	5.114438E-11
	0.043003	5.114438E-11
	0.044003	1.893761E-11
	0.045003	1.893761E-11
	0.046003	5.114438E-11
	0.047003	-1.326917E-11
	0.048003	-1.326917E-11
	0.049003	1.893761E-11
	0.050003	-1.326917E-11
	0.051003	1.893761E-11
	0.052003	-1.326917E-11
	0.053003	5.114438E-11
	0.054003	-1.326917E-11
	0.055003	1.893761E-11
	0.056003	-1.326917E-11
	0.057003	-1.326917E-11
	0.058003	1.893761E-11
	0.059003	-1.326917E-11
	0.060003	-1.326917E-11
