9/28/2021 	 5:02:57 PM 
 Current Sensitivity 	 1.000000E-7 
 This file comes from It only measurement 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	 Current 	 Filtered Current 	 
	5.026401E-6	-1.326917E-11
	0.001005	-1.326917E-11
	0.002005	5.114438E-11
	0.003005	1.893761E-11
	0.004005	1.893761E-11
	0.005005	5.114438E-11
	0.006005	-1.326917E-11
	0.007005	1.893761E-11
	0.008005	5.114438E-11
	0.009005	5.114438E-11
	0.010005	5.114438E-11
	0.011005	1.893761E-11
	0.012005	5.114438E-11
	0.013005	1.893761E-11
	0.014005	1.893761E-11
	0.015005	1.893761E-11
	0.016005	-1.326917E-11
	0.017005	-1.326917E-11
	0.018005	1.893761E-11
	0.019005	-4.547595E-11
	0.020005	5.114438E-11
	0.021005	-1.326917E-11
	0.022005	-1.326917E-11
	0.023005	-1.326917E-11
	0.024005	-1.326917E-11
	0.025005	-1.326917E-11
	0.026005	1.893761E-11
	0.027005	-4.547595E-11
	0.028005	-1.326917E-11
	0.029005	-4.547595E-11
	0.030005	-4.547595E-11
	0.031005	-1.326917E-11
	0.032005	-1.326917E-11
	0.033005	-4.547595E-11
	0.034005	-1.326917E-11
	0.035005	-7.768272E-11
	0.036005	-7.768272E-11
	0.037005	-4.547595E-11
	0.038005	-1.098895E-10
	0.039005	-7.768272E-11
	0.040005	-1.098895E-10
	0.041005	-1.326917E-11
	0.042005	-1.326917E-11
	0.043005	-4.547595E-11
	0.044005	-4.547595E-11
	0.045005	-1.326917E-11
	0.046005	-1.326917E-11
	0.047005	-1.326917E-11
	0.048005	-1.326917E-11
	0.049005	-4.547595E-11
	0.050005	-1.326917E-11
	0.051005	1.893761E-11
	0.052005	-4.547595E-11
	0.053005	-1.326917E-11
	0.054005	5.114438E-11
	0.055005	1.893761E-11
	0.056005	-1.326917E-11
	0.057005	-1.326917E-11
	0.058005	-4.547595E-11
	0.059005	-1.326917E-11
	0.060005	-4.547595E-11
	0.061005	-1.326917E-11
	0.062005	-1.326917E-11
	0.063005	1.893761E-11
	0.064005	1.893761E-11
	0.065005	-1.326917E-11
	0.066005	-4.547595E-11
	0.067005	-4.547595E-11
	0.068005	-1.326917E-11
	0.069005	-1.326917E-11
	0.070005	1.893761E-11
	0.071005	-4.547595E-11
	0.072005	5.114438E-11
	0.073005	-1.326917E-11
	0.074005	1.893761E-11
	0.075005	-4.547595E-11
	0.076005	-4.547595E-11
	0.077005	-4.547595E-11
	0.078005	-4.547595E-11
	0.079005	-1.326917E-11
	0.080005	-4.547595E-11
	0.081005	1.893761E-11
	0.082005	-1.326917E-11
	0.083005	-1.326917E-11
	0.084005	-4.547595E-11
	0.085005	-1.326917E-11
	0.086005	-4.547595E-11
	0.087005	-7.768272E-11
	0.088005	1.893761E-11
	0.089005	-1.326917E-11
	0.090005	1.893761E-11
	0.091005	5.114438E-11
	0.092005	-1.326917E-11
	0.093005	-4.547595E-11
	0.094005	-1.326917E-11
	0.095005	-1.326917E-11
	0.096005	-4.547595E-11
	0.097005	1.893761E-11
	0.098005	1.893761E-11
	0.099005	-1.326917E-11
	0.100005	-1.326917E-11
	0.101005	1.893761E-11
	0.102005	5.114438E-11
	0.103005	1.893761E-11
	0.104005	-4.547595E-11
	0.105005	-1.326917E-11
	0.106005	1.893761E-11
	0.107005	1.893761E-11
	0.108005	-4.547595E-11
	0.109005	1.893761E-11
	0.110005	-4.547595E-11
	0.111005	-1.326917E-11
	0.112005	-1.326917E-11
	0.113005	1.893761E-11
	0.114005	-1.326917E-11
	0.115005	-7.768272E-11
	0.116005	1.893761E-11
	0.117005	-1.326917E-11
	0.118005	1.893761E-11
	0.119005	1.893761E-11
	0.120005	-1.326917E-11
	0.121005	-1.326917E-11
	0.122005	1.893761E-11
	0.123005	1.893761E-11
	0.124005	-1.326917E-11
	0.125005	-1.326917E-11
	0.126005	-7.768272E-11
	0.127005	-1.326917E-11
	0.128005	-1.326917E-11
	0.129005	-7.768272E-11
	0.130005	-1.326917E-11
	0.131005	-7.768272E-11
	0.132005	-1.326917E-11
	0.133005	-1.326917E-11
	0.134005	-1.326917E-11
	0.135005	-4.547595E-11
	0.136005	-1.326917E-11
	0.137005	-1.326917E-11
	0.138005	-1.326917E-11
	0.139005	1.893761E-11
	0.140005	-1.326917E-11
	0.141005	-1.326917E-11
	0.142005	-1.326917E-11
	0.143005	-1.326917E-11
	0.144005	-4.547595E-11
	0.145005	1.893761E-11
	0.146005	5.114438E-11
	0.147005	1.893761E-11
	0.148005	1.893761E-11
	0.149005	-4.547595E-11
	0.150005	5.114438E-11
	0.151005	1.893761E-11
	0.152005	-1.326917E-11
	0.153005	1.893761E-11
	0.154005	-4.547595E-11
	0.155005	1.893761E-11
	0.156005	5.114438E-11
	0.157005	5.114438E-11
	0.158005	1.893761E-11
	0.159005	5.114438E-11
	0.160005	1.893761E-11
	0.161005	1.893761E-11
	0.162005	5.114438E-11
	0.163005	5.114438E-11
	0.164005	5.114438E-11
	0.165005	1.893761E-11
	0.166005	1.893761E-11
	0.167005	5.114438E-11
	0.168005	1.893761E-11
	0.169005	5.114438E-11
	0.170005	5.114438E-11
	0.171005	-1.326917E-11
	0.172005	5.114438E-11
	0.173005	5.114438E-11
	0.174005	5.114438E-11
	0.175005	1.893761E-11
	0.176005	1.893761E-11
	0.177005	5.114438E-11
	0.178005	8.335116E-11
	0.179005	-1.326917E-11
	0.180005	5.114438E-11
	0.181005	1.893761E-11
	0.182005	5.114438E-11
	0.183005	1.893761E-11
	0.184005	1.893761E-11
	0.185005	5.114438E-11
	0.186005	1.893761E-11
	0.187005	5.114438E-11
	0.188005	1.893761E-11
	0.189005	-1.326917E-11
	0.190005	-1.326917E-11
	0.191005	5.114438E-11
	0.192005	-1.326917E-11
	0.193005	-1.326917E-11
	0.194005	5.114438E-11
	0.195005	-1.326917E-11
	0.196005	5.114438E-11
	0.197005	1.893761E-11
	0.198005	1.893761E-11
	0.199005	1.893761E-11
	0.200005	-1.326917E-11
	0.201005	1.893761E-11
	0.202005	-7.768272E-11
	0.203005	1.893761E-11
	0.204005	5.114438E-11
	0.205005	-1.326917E-11
	0.206005	-1.326917E-11
	0.207005	-4.547595E-11
	0.208005	-1.326917E-11
	0.209005	-4.547595E-11
	0.210005	-1.326917E-11
	0.211005	-1.326917E-11
	0.212005	1.893761E-11
	0.213005	-4.547595E-11
	0.214005	5.114438E-11
	0.215005	-1.326917E-11
	0.216005	1.893761E-11
	0.217005	-1.326917E-11
	0.218005	-1.326917E-11
	0.219005	1.893761E-11
	0.220005	5.114438E-11
	0.221005	1.893761E-11
	0.222005	-1.326917E-11
	0.223005	-1.326917E-11
	0.224005	5.114438E-11
	0.225005	-1.326917E-11
	0.226005	1.893761E-11
	0.227005	-1.326917E-11
	0.228005	1.893761E-11
	0.229005	-4.547595E-11
	0.230005	1.893761E-11
	0.231005	-1.326917E-11
	0.232005	-4.547595E-11
	0.233005	1.893761E-11
	0.234005	5.114438E-11
	0.235005	-1.326917E-11
	0.236005	1.893761E-11
	0.237005	1.893761E-11
	0.238005	-1.326917E-11
	0.239005	5.114438E-11
	0.240005	1.893761E-11
	0.241005	5.114438E-11
	0.242005	-4.547595E-11
	0.243005	1.893761E-11
	0.244005	5.114438E-11
	0.245005	-1.326917E-11
	0.246005	5.114438E-11
	0.247005	5.114438E-11
	0.248005	-1.326917E-11
	0.249005	1.893761E-11
	0.250005	-1.326917E-11
	0.251005	1.893761E-11
	0.252005	1.893761E-11
	0.253005	5.114438E-11
	0.254005	5.114438E-11
	0.255005	-1.326917E-11
	0.256005	1.893761E-11
	0.257005	5.114438E-11
	0.258005	1.893761E-11
	0.259005	1.893761E-11
	0.260005	1.893761E-11
	0.261005	5.114438E-11
	0.262005	8.335116E-11
	0.263005	1.893761E-11
	0.264005	8.335116E-11
	0.265005	5.114438E-11
	0.266005	1.893761E-11
	0.267005	8.335116E-11
	0.268005	1.893761E-11
	0.269005	-1.326917E-11
	0.270005	-1.326917E-11
	0.271005	5.114438E-11
	0.272005	1.893761E-11
	0.273005	1.893761E-11
	0.274005	1.893761E-11
	0.275005	1.893761E-11
	0.276005	1.893761E-11
	0.277005	1.893761E-11
	0.278005	1.893761E-11
	0.279005	-4.547595E-11
	0.280005	-1.326917E-11
	0.281005	5.114438E-11
	0.282005	-1.326917E-11
	0.283005	1.893761E-11
	0.284005	5.114438E-11
	0.285005	-1.326917E-11
	0.286005	-1.326917E-11
	0.287005	-7.768272E-11
	0.288005	5.114438E-11
	0.289005	1.893761E-11
	0.290005	-1.326917E-11
	0.291005	-1.326917E-11
	0.292005	1.893761E-11
	0.293005	-1.326917E-11
	0.294005	-1.326917E-11
	0.295005	-1.326917E-11
	0.296005	-1.326917E-11
	0.297005	1.893761E-11
	0.298005	-1.326917E-11
	0.299005	-1.326917E-11
	0.300005	-1.326917E-11
	0.301005	-4.547595E-11
	0.302005	-1.326917E-11
	0.303005	1.893761E-11
	0.304005	5.114438E-11
	0.305005	1.893761E-11
	0.306005	1.893761E-11
	0.307005	-1.326917E-11
	0.308005	5.114438E-11
	0.309005	-7.768272E-11
	0.310005	-4.547595E-11
